catalogo,texto_crudo,valor
servicio,UCI 5,UCI 5
servicio,UCI ADULTO,UCI CARTAGO
servicio,CARTAGO UCI 01,UCI CARTAGO
servicio,UCI CARTAGO,UCI CARTAGO
servicio,UCI CARTAGO 1,UCI CARTAGO
servicio,UCIN CARTAGO,UCI CARTAGO
servicio,UCI 3 PISO,UCI Coronario / UCI Cardio
servicio,UCI CRITICO QUIRURGICO,UCI Critico QX
servicio,UCIM,UCI Critico QX
servicio,UCI NEUROCIRUGIA,UCI Neurocirugía
servicio,NEURO UCI,UCI Neurocirugía
servicio,4 PISO UCI TRASPLANTES,UCI Trasplantes
servicio,UCI TRASPLANTES,UCI Trasplantes
servicio,UNIDAD DE CUIDADO INTERMEDIO,UCIM ADULTO
servicio,UNIDAD CUIDADO INTERMEDIO,UCIM ADULTO
servicio,UNIDAD DE QUEMADOS,Unidad de Quemados
servicio,UNIDAD SALUD MENTAL,Unidad de Salud Mental
servicio,UNIDAD DE SALUD MENTAL,Unidad de Salud Mental
servicio,OBSERVACION TRAUMA,Unidad de Trauma / Reanimación
servicio,CRITICOS TRAUMA,Unidad de Trauma / Reanimación
servicio,TRAUMA Y REANIMACION,Unidad de Trauma / Reanimación
servicio,REANIMACION TRAUMA,Unidad de Trauma / Reanimación
servicio,UNIDAD DE TRAUMA,Unidad de Trauma / Reanimación
muestra,ABSCESO TEJIDOS Y ORGANOS,1. Absceso tejidos organos
muestra,COLECCION ABDOMINAL,1. Absceso tejidos organos
muestra,Absceso,1. Absceso tejidos organos
muestra,Pus,1. Absceso tejidos organos
muestra,LAVADO BRONCOALVEOLAR,2. Cepillado o LBA
muestra,PANEL NEUMONIA,2. Cepillado o LBA
muestra,LAVADO ALVEOLAR LOBULO,2. Cepillado o LBA
muestra,Lavado Boncroalveolar,2. Cepillado o LBA
muestra,PNAEL NEUMONIA,2. Cepillado o LBA
muestra,PANEL RESPIRATORIO,2. Cepillado o LBA
muestra,Respiratorio,2. Cepillado o LBA
muestra,COLECCION PIEL Y TEJIDOS BLAND,3. Coleccion piel y tejidps blandos
muestra,HEMOCULTIVO BARRIDO CATETER,4. Hemocultivo barrido cateter
muestra,HEMOCULTIVO POR CVC,4. Hemocultivo barrido cateter
muestra,LIQUIDO CEFALORRAQUIDEO,5. Liquido cefalorraquideo
muestra,PANEL MENINGEO,5. Liquido cefalorraquideo
muestra,LIQUIDO PERITONEAL,6. Liquido peritoneal
muestra,LIQUIDO ABDOMINAL,6. Liquido peritoneal
muestra,LIQUIDO ASCITICO,6. Liquido peritoneal
muestra,LIQUIDO PLEURAL,7. Liquido pleural
muestra,MATERIA FECAL,8. Materia fecal
muestra,Heces,8. Materia fecal
muestra,COPROCULTIVO,8. Materia fecal
muestra,CLOSTRIDIUM POSITIVO,8. Materia fecal
muestra,COPROSCOPICO,8. Materia fecal
muestra,MATERIAL FECAL,8. Materia fecal
muestra,PANEL GASTROINTESTINAL,8. Materia fecal
muestra,CLOSTRIDIUM TOXINA,8. Materia fecal
muestra,COPROLOGICO,8. Materia fecal
muestra,PANEL GASTROINTESTINA,8. Materia fecal
muestra,Orina,9. Orina
muestra,ORINA POR NEFROSTOMIA,9. Orina
muestra,ORINA POR PUNCION SUPRAPUBICA,9. Orina
muestra,Orina.,9. Orina
muestra,NEFROSTOMIA,9. Orina
muestra,Orina obtencion desconocida,9. Orina
muestra,ORINA CATETERISMO VESICAL,10. Orina por cateterismo vesical
muestra,Orina por cateter,10. Orina por cateterismo vesical
muestra,ORINA POR MICCION ESPONTANEA,11. Orina por miccion expontanea
muestra,Orina por micción espontanea,11. Orina por miccion expontanea
muestra,ORINA POR SONDA VESICAL,12. Orina por sonda vesical
muestra,PANEL POSITIVO,13. Otro tipo de muestra
muestra,OTRO TIPO DE MUESTRA,13. Otro tipo de muestra
muestra,Liquido corpral,13. Otro tipo de muestra
muestra,Liquido corporal,13. Otro tipo de muestra
muestra,PANEL POSITIVA,13. Otro tipo de muestra
muestra,LIQUIDO AMNIOTICO,13. Otro tipo de muestra
muestra,PUNTA DE STENT,14. Punta de cateter (VP)
muestra,Cateter,14. Punta de cateter (VP)
muestra,PUNTA DE CATETER,14. Punta de cateter (VP)
muestra,PUNTA DE CATETER DVP,14. Punta de cateter (VP)
muestra,Cateter central,15. Punta de cateter (CVC - PICC)
muestra,HEMOCULTIVO PUNCION PERIFERICA,16. Sangre - puncion periferica
muestra,Sangre,16. Sangre - puncion periferica
muestra,SANGRE TOTAL,16. Sangre - puncion periferica
muestra,SANGRE TOTAL HEMO,16. Sangre - puncion periferica
muestra,Sangre.,16. Sangre - puncion periferica
muestra,HEMOCULTIVO,16. Sangre - puncion periferica
muestra,SANDRE,16. Sangre - puncion periferica
muestra,PANEL SEPSIS,16. Sangre - puncion periferica
muestra,HEMOCULTIVO MIEBRO SUPERIOR IZQUIERDO,16. Sangre - puncion periferica
